ID,pH,Temp_C,DBO5_mgL,DQO_mgL,SST_mgL,N_Total_mgL,P_Total_mgL,Grasas_Aceites_mgL,Conductividad_uScm,OD_mgL,Estado
1654,6.58,35.4,101.0,26.5,232.3,32.5,1.16,6.8,1796.0,5.45,PROBLEMATICO
1655,7.41,16.4,39.2,277.6,35.2,5.7,1.76,,1159.0,,TRATABLE
1656,6.65,23.5,27.7,283.3,212.5,9.7,4.23,17.7,27.0,5.19,TRATABLE
1657,7.2,34.3,91.3,268.3,160.0,11.6,4.06,3.2,1690.0,7.29,PROBLEMATICO
1658,8.58,32.5,185.5,322.0,208.4,25.3,7.1,23.8,,5.44,PROBLEMATICO
1659,5.79,29.6,,375.0,115.8,0.7,7.4,28.8,959.0,3.25,GRAVE
1660,8.37,24.8,113.5,52.4,210.4,6.0,2.0,10.7,958.0,3.42,TRATABLE
1661,8.58,22.6,31.2,211.0,70.4,10.7,3.8,11.2,451.0,8.46,TRATABLE
1662,6.86,24.0,122.1,342.8,28.2,13.0,1.0,,,7.06,PROBLEMATICO
1663,4.45,34.7,238.7,201.7,5.4,27.4,8.51,0.2,1709.0,,PROBLEMATICO
1664,6.27,23.9,134.0,422.7,89.7,33.5,4.8,5.3,459.0,4.29,PROBLEMATICO
1665,8.56,27.5,15.7,266.2,21.3,13.5,6.98,6.7,,3.81,TRATABLE
1666,6.97,23.2,,,,3.3,2.91,45.6,704.0,4.88,PROBLEMATICO
1667,5.8,31.2,,401.1,131.7,24.5,7.06,20.6,307.0,6.08,GRAVE
1668,6.39,24.3,99.8,228.9,231.9,31.3,6.23,,,5.54,PROBLEMATICO
1669,8.01,26.5,,68.5,218.7,51.0,7.84,14.5,952.0,5.91,PROBLEMATICO
1670,7.66,18.6,64.9,204.6,140.6,42.6,0.03,47.6,611.0,3.09,PROBLEMATICO
1671,6.71,18.9,165.3,21.7,493.7,0.7,4.22,21.4,367.0,4.74,PROBLEMATICO
1672,6.56,27.0,92.9,385.6,432.8,19.5,7.29,23.7,1031.0,6.2,GRAVE
1673,6.53,20.4,103.2,243.5,279.2,30.2,1.19,44.0,284.0,7.54,GRAVE
1674,5.89,37.5,43.4,83.7,49.5,6.7,5.57,10.8,1093.0,,PROBLEMATICO
1675,8.94,16.7,,,283.3,15.7,5.71,21.7,2048.0,5.43,GRAVE
1676,6.61,23.0,100.1,332.5,34.9,,6.1,7.7,1849.0,6.94,PROBLEMATICO
1677,,27.1,174.7,207.6,279.7,26.5,,,1537.0,0.48,GRAVE
1678,8.83,25.2,12.6,25.8,115.6,22.0,5.85,3.9,2884.0,7.23,PROBLEMATICO
1679,8.2,,276.0,98.4,108.1,10.2,5.3,12.6,1379.0,8.92,PROBLEMATICO
1680,6.48,,235.0,95.7,260.9,,7.55,20.3,562.0,4.87,PROBLEMATICO
1681,7.48,22.0,,384.4,178.5,16.4,1.85,7.4,,5.58,TRATABLE
1682,6.97,,47.8,52.6,7.9,20.4,5.02,3.5,1294.0,2.56,PROBLEMATICO
1683,5.92,36.8,163.0,,157.0,4.4,,39.4,1228.0,8.59,GRAVE
1684,7.39,27.4,1.2,204.9,178.6,22.9,1.65,9.1,1407.0,5.07,TRATABLE
1685,5.59,32.9,,436.4,160.5,29.1,1.93,6.9,923.0,0.0,GRAVE
1686,8.43,29.5,158.4,291.9,99.3,9.5,5.57,1.1,2508.0,6.43,PROBLEMATICO
1687,6.44,32.6,103.4,346.3,225.5,29.3,8.15,22.0,60.0,2.69,GRAVE
1688,7.24,13.0,168.5,155.4,254.5,27.0,3.6,22.6,1771.0,3.49,PROBLEMATICO
1689,7.34,,57.6,28.4,124.6,,4.29,27.0,,5.08,TRATABLE
1690,,33.5,82.0,191.4,292.0,14.5,5.09,29.5,1519.0,4.55,PROBLEMATICO
1691,7.7,24.1,208.4,,124.4,16.0,2.54,21.0,934.0,5.17,PROBLEMATICO
1692,6.43,,207.8,389.5,91.0,6.6,10.58,25.9,2260.0,5.39,PROBLEMATICO
1693,8.05,34.4,345.3,172.5,275.7,28.2,1.23,6.4,1819.0,7.19,PROBLEMATICO
1694,5.38,24.7,78.6,95.1,272.0,6.8,4.27,5.1,661.0,1.79,GRAVE
1695,7.15,24.5,187.6,59.8,78.0,7.9,4.32,39.4,1984.0,5.57,TRATABLE
1696,9.33,21.9,57.2,225.4,63.5,31.0,2.57,30.8,1410.0,4.83,PROBLEMATICO
1697,5.8,,278.1,274.6,316.4,17.6,1.47,9.9,791.0,4.05,GRAVE
1698,6.19,20.8,163.9,515.2,129.7,23.1,0.06,3.0,15.0,1.98,GRAVE
1699,7.62,29.1,34.3,272.2,140.3,8.8,6.16,56.2,,5.29,PROBLEMATICO
1700,,19.7,,,114.8,12.6,1.08,1.3,693.0,2.6,PROBLEMATICO
1701,7.42,30.0,70.2,109.5,272.2,,6.83,19.1,1569.0,1.13,GRAVE
1702,7.59,30.1,,257.5,354.4,10.1,0.46,2.9,2223.0,4.11,PROBLEMATICO
1703,7.76,18.7,138.5,275.2,147.0,53.5,,7.6,632.0,5.69,PROBLEMATICO
1704,8.33,34.7,277.0,224.7,381.8,26.7,0.19,1.5,2141.0,3.06,GRAVE
1705,7.49,29.6,283.3,246.1,84.5,12.4,5.27,24.0,396.0,0.79,GRAVE
1706,6.71,,66.2,272.7,111.7,,6.81,22.0,2238.0,4.45,PROBLEMATICO
1707,7.81,23.2,215.2,336.6,207.3,44.1,5.72,26.8,,6.9,PROBLEMATICO
1708,9.28,30.1,151.9,460.4,58.3,19.0,0.34,,1830.0,3.06,PROBLEMATICO
1709,6.84,32.6,7.1,157.8,206.0,47.5,7.39,61.9,1507.0,1.76,GRAVE
1710,5.83,26.5,,450.5,88.2,26.8,5.64,20.1,1823.0,1.3,GRAVE
1711,8.33,37.0,330.3,57.9,14.4,40.2,3.07,18.0,964.0,3.07,PROBLEMATICO
1712,6.86,27.2,152.2,305.6,34.3,9.5,4.33,22.0,271.0,4.55,PROBLEMATICO
1713,4.39,32.7,210.0,674.0,107.6,17.9,12.5,4.3,682.0,3.56,GRAVE
1714,8.02,,100.9,242.3,181.8,19.9,,2.6,,5.01,PROBLEMATICO
1715,6.36,,71.4,282.4,3.9,43.6,2.5,1.3,,4.72,TRATABLE
1716,6.89,18.6,122.5,194.2,157.9,,5.63,5.2,1871.0,6.5,PROBLEMATICO
1717,7.4,28.9,96.1,370.1,158.1,4.0,2.82,25.1,1122.0,4.23,PROBLEMATICO
1718,7.23,23.3,14.4,315.2,123.2,12.8,7.04,8.2,950.0,,PROBLEMATICO
1719,7.85,22.8,29.7,128.3,47.4,,1.56,26.1,2382.0,4.58,TRATABLE
1720,6.48,35.7,183.7,229.4,164.0,,,7.7,1265.0,4.86,PROBLEMATICO
1721,7.62,25.9,85.7,48.7,,8.5,6.76,3.4,1853.0,4.84,TRATABLE
1722,6.69,22.0,122.3,228.6,238.2,26.7,5.93,2.2,2879.0,2.45,GRAVE
1723,,25.2,141.1,174.5,10.7,8.0,10.21,53.7,1054.0,4.33,PROBLEMATICO
1724,7.74,20.5,148.2,274.6,151.4,9.7,7.02,6.8,,3.24,PROBLEMATICO
1725,5.88,34.2,223.2,122.2,12.8,15.5,,3.7,1693.0,2.83,PROBLEMATICO
1726,8.3,23.5,21.1,211.4,116.3,51.6,,23.2,974.0,5.29,PROBLEMATICO
1727,6.36,29.6,171.3,251.6,30.5,39.5,6.14,28.2,1544.0,5.48,PROBLEMATICO
1728,7.97,33.8,188.0,264.1,48.3,30.2,5.39,10.2,1990.0,3.24,PROBLEMATICO
1729,7.44,24.5,208.7,299.4,139.6,26.4,1.97,10.6,1748.0,5.89,PROBLEMATICO
1730,9.21,29.7,7.2,218.6,83.4,15.5,2.01,8.0,1282.0,,PROBLEMATICO
1731,6.73,21.8,142.9,108.4,286.7,35.2,5.3,20.8,818.0,6.29,GRAVE
1732,6.58,39.2,274.4,264.8,257.9,32.2,5.83,2.6,188.0,8.88,GRAVE
1733,6.98,31.7,111.1,217.8,220.5,20.5,4.05,5.4,2484.0,5.46,PROBLEMATICO
1734,6.64,26.0,163.5,434.4,,25.6,2.56,11.1,532.0,4.28,PROBLEMATICO
1735,7.96,23.1,190.2,457.1,153.0,6.9,3.59,20.1,,3.13,PROBLEMATICO
1736,5.06,,27.7,3.0,,13.4,3.84,16.0,342.0,4.91,PROBLEMATICO
1737,5.74,25.3,285.0,,110.6,0.5,4.83,22.1,526.0,2.54,GRAVE
1738,5.72,36.8,165.0,397.2,,0.2,3.33,27.9,1676.0,4.02,GRAVE
1739,8.14,20.9,166.8,7.8,,30.5,7.5,12.6,2288.0,2.71,PROBLEMATICO
1740,9.05,27.7,29.6,354.3,27.1,0.8,3.67,3.6,1655.0,6.18,PROBLEMATICO
1741,6.87,26.9,191.5,411.3,0.5,35.8,2.07,13.8,1450.0,3.44,PROBLEMATICO
1742,6.8,26.4,,79.1,17.9,40.6,3.76,1.3,248.0,4.44,TRATABLE
1743,7.08,26.5,266.2,,22.9,20.9,0.7,19.0,290.0,1.06,PROBLEMATICO
1744,8.39,26.4,92.0,283.5,161.4,11.1,,9.9,897.0,,PROBLEMATICO
1745,,31.4,31.1,352.7,225.4,40.6,5.97,34.3,1308.0,3.76,GRAVE
1746,7.29,30.0,58.6,72.1,143.4,,3.96,3.9,1164.0,,PROBLEMATICO
1747,8.17,29.1,74.6,458.3,1.5,43.5,,13.0,2748.0,3.91,PROBLEMATICO
1748,7.6,11.8,19.3,115.3,93.0,2.5,,41.6,121.0,0.0,PROBLEMATICO
1749,,28.5,236.1,488.3,224.1,17.3,3.9,11.7,987.0,2.19,PROBLEMATICO
1750,,18.7,239.5,349.0,105.8,18.1,1.89,4.7,2369.0,1.16,PROBLEMATICO
1751,3.76,,102.4,138.1,60.2,25.8,1.18,,,6.02,PROBLEMATICO
1752,7.81,34.4,84.7,405.6,11.4,33.2,4.63,22.3,434.0,4.45,PROBLEMATICO
1753,6.22,,43.4,61.4,,24.5,7.19,20.6,351.0,0.0,PROBLEMATICO
1754,4.8,25.7,182.6,270.7,69.7,46.0,1.37,25.4,925.0,6.48,PROBLEMATICO
1755,7.61,24.0,268.8,292.9,131.4,15.3,3.28,17.0,492.0,5.35,PROBLEMATICO
1756,8.65,33.2,62.7,292.5,187.6,3.1,3.39,,,4.29,TRATABLE
1757,6.84,27.5,109.5,,111.8,10.0,6.31,0.8,,5.18,PROBLEMATICO
1758,8.14,35.6,159.1,,,7.8,,15.8,491.0,4.24,TRATABLE
1759,8.93,29.1,275.2,272.8,187.2,13.8,6.26,32.8,747.0,3.79,GRAVE
1760,8.58,28.2,138.0,119.2,17.0,17.2,6.15,38.3,1839.0,4.66,PROBLEMATICO
1761,8.97,27.3,137.6,298.9,328.6,17.9,2.01,,1406.0,4.62,PROBLEMATICO
1762,7.89,31.1,136.1,139.5,65.9,26.2,3.12,9.8,2249.0,2.87,PROBLEMATICO
1763,7.09,18.3,8.3,,191.7,13.7,4.24,12.0,1773.0,5.99,TRATABLE
1764,5.08,27.4,10.2,531.3,26.4,40.9,2.69,27.5,717.0,2.91,GRAVE
1765,6.7,26.6,47.3,196.5,151.0,12.9,1.32,11.9,1560.0,3.89,TRATABLE
1766,5.99,30.6,211.2,415.6,154.7,18.1,8.45,19.1,1281.0,6.2,PROBLEMATICO
1767,9.61,26.1,89.8,211.8,305.9,40.0,1.35,14.4,32.0,6.67,GRAVE
1768,6.79,,72.3,81.4,,38.6,4.7,10.0,2713.0,6.39,PROBLEMATICO
1769,7.15,27.0,,,269.9,44.3,8.09,24.1,458.0,1.11,GRAVE
1770,7.66,21.6,,265.4,169.0,33.5,1.58,,1125.0,4.12,PROBLEMATICO
1771,7.05,17.4,273.2,71.7,325.2,22.0,4.08,9.0,870.0,2.18,GRAVE
1772,9.03,30.6,106.4,,38.0,17.3,6.71,18.0,1282.0,2.41,GRAVE
1773,6.25,29.9,,265.5,188.2,6.8,5.13,22.8,1335.0,3.22,PROBLEMATICO
1774,7.23,,,,127.3,,3.85,42.4,,,PROBLEMATICO
1775,6.11,33.5,278.0,359.5,,3.9,0.72,22.9,867.0,,PROBLEMATICO
1776,5.42,23.7,74.7,271.6,242.1,66.4,6.89,39.3,1958.0,0.0,GRAVE
1777,6.27,19.8,13.7,185.9,284.6,3.4,1.62,13.3,725.0,5.01,PROBLEMATICO
1778,6.96,26.6,74.9,524.1,213.9,20.6,9.35,27.6,828.0,,PROBLEMATICO
1779,6.48,25.3,131.6,640.6,110.9,49.1,1.14,7.3,4.0,6.96,PROBLEMATICO
1780,6.17,22.8,181.9,189.0,,15.4,5.35,,1361.0,4.32,PROBLEMATICO
1781,5.31,26.6,210.6,437.6,391.6,15.5,1.37,13.9,2264.0,0.72,GRAVE
1782,6.9,23.9,25.9,122.8,147.5,24.6,3.29,9.2,1026.0,1.78,PROBLEMATICO
1783,5.19,17.8,34.4,144.2,236.1,,3.99,,,1.1,PROBLEMATICO
1784,7.91,24.8,90.9,180.5,97.1,32.1,4.08,2.9,437.0,3.96,PROBLEMATICO
1785,7.1,21.3,181.6,373.2,247.0,52.1,8.96,18.9,250.0,7.67,PROBLEMATICO
1786,5.25,,6.6,56.5,230.6,6.0,,21.7,2172.0,5.5,PROBLEMATICO
1787,6.63,23.7,65.3,,78.9,25.5,,15.6,1082.0,4.78,PROBLEMATICO
1788,6.1,32.6,66.7,418.8,217.7,70.8,4.13,11.3,518.0,2.3,PROBLEMATICO
1789,7.38,35.0,204.8,369.1,222.5,32.2,0.51,31.1,1384.0,5.36,PROBLEMATICO
1790,8.61,30.4,167.5,197.1,214.0,39.6,0.17,26.2,1433.0,,PROBLEMATICO
1791,4.75,19.2,201.3,399.3,135.9,8.2,2.0,11.6,1862.0,5.03,PROBLEMATICO
1792,7.14,34.5,240.5,275.1,262.9,49.9,,17.6,968.0,5.53,GRAVE
1793,6.81,34.9,92.5,329.4,46.5,,1.06,20.4,251.0,3.56,PROBLEMATICO
1794,7.81,,13.1,278.8,141.0,6.4,5.73,5.5,1009.0,5.06,PROBLEMATICO
1795,7.26,33.6,13.7,89.5,151.1,48.6,5.38,5.1,1186.0,8.19,PROBLEMATICO
1796,6.1,24.2,45.4,323.1,257.1,10.5,1.77,13.6,,7.02,PROBLEMATICO
1797,6.62,17.7,78.7,356.4,43.4,21.9,,41.2,144.0,6.32,PROBLEMATICO
1798,,23.2,,83.7,164.1,51.3,5.92,17.6,936.0,9.26,PROBLEMATICO
1799,8.29,35.6,190.9,,90.8,5.5,3.89,13.0,1405.0,8.42,TRATABLE
1800,7.03,19.5,121.5,621.6,150.9,17.7,3.55,5.6,2282.0,7.54,PROBLEMATICO
1801,9.28,27.0,75.9,216.5,179.2,11.0,3.26,15.6,732.0,2.41,PROBLEMATICO
1802,6.93,27.2,109.6,425.6,12.2,16.1,1.47,15.0,631.0,2.13,PROBLEMATICO
1803,6.15,24.4,26.5,452.8,266.4,22.7,4.5,25.9,1666.0,1.97,GRAVE
1804,5.18,24.8,212.3,320.9,182.8,46.1,2.48,5.4,,6.21,PROBLEMATICO
1805,4.84,27.4,49.3,433.1,54.1,,4.48,0.4,,6.01,PROBLEMATICO
1806,5.1,24.2,,130.3,,24.8,2.17,,1613.0,,PROBLEMATICO
1807,7.32,19.9,193.6,208.5,289.4,,2.03,13.4,1447.0,2.38,GRAVE
1808,7.61,28.1,171.7,304.5,181.6,34.2,2.37,14.6,1342.0,6.43,PROBLEMATICO
1809,5.1,32.4,35.1,64.3,43.5,22.1,7.81,14.8,52.0,3.91,PROBLEMATICO
1810,8.07,,197.0,151.7,61.6,22.7,0.13,2.8,307.0,4.07,TRATABLE
1811,6.42,23.0,53.3,130.2,202.5,3.4,9.32,13.5,2140.0,5.93,TRATABLE
1812,7.18,20.7,86.3,257.5,214.5,7.1,6.3,27.3,,4.17,PROBLEMATICO
1813,8.93,25.6,136.8,246.3,176.3,21.7,0.69,,1047.0,4.32,PROBLEMATICO
1814,8.08,34.8,172.8,274.1,110.9,2.7,,32.7,647.0,1.66,PROBLEMATICO
1815,6.68,30.2,160.1,281.4,221.0,12.5,0.87,13.9,1213.0,1.47,PROBLEMATICO
1816,5.93,30.5,115.5,309.9,108.8,48.7,5.94,12.2,858.0,,GRAVE
1817,4.42,31.4,81.8,77.4,,20.7,7.83,37.4,1800.0,5.14,PROBLEMATICO
1818,6.14,,157.1,119.5,298.7,41.9,4.69,13.0,462.0,,GRAVE
1819,6.75,27.6,109.3,243.4,188.9,27.3,7.66,30.6,1784.0,5.2,PROBLEMATICO
1820,5.82,30.3,282.5,246.2,61.5,32.5,4.55,14.5,2351.0,4.55,GRAVE
1821,6.84,24.3,172.8,55.3,153.4,12.1,6.91,28.2,1632.0,2.06,PROBLEMATICO
1822,,19.9,36.9,444.7,142.7,42.8,,27.0,336.0,4.28,PROBLEMATICO
1823,6.73,30.6,77.0,380.5,105.0,27.6,4.04,32.4,1775.0,5.04,PROBLEMATICO
1824,6.22,33.2,124.3,95.3,163.4,17.2,6.32,9.1,857.0,1.13,PROBLEMATICO
1825,,21.4,236.9,212.5,47.1,27.6,3.53,5.8,834.0,6.28,TRATABLE
1826,7.53,31.1,247.0,611.7,227.4,9.1,8.37,42.4,1295.0,4.92,GRAVE
1827,5.69,35.4,84.3,278.9,139.4,16.7,3.05,,1027.0,7.9,PROBLEMATICO
1828,8.69,27.0,36.0,321.2,20.9,21.0,5.7,8.8,875.0,7.04,TRATABLE
1829,6.88,22.9,24.5,140.4,117.2,12.5,1.88,23.1,1680.0,,TRATABLE
1830,7.02,27.6,142.7,193.6,78.4,50.1,0.72,64.3,1281.0,3.09,PROBLEMATICO
1831,7.85,24.2,327.3,522.0,159.0,14.5,5.07,23.7,138.0,5.68,GRAVE
1832,7.28,23.9,168.5,,124.4,59.5,1.41,18.2,,,PROBLEMATICO
1833,8.14,,23.5,237.2,243.7,23.2,10.45,16.3,2039.0,7.59,PROBLEMATICO
1834,7.34,19.0,54.7,251.4,129.2,17.8,2.94,44.8,1621.0,,PROBLEMATICO
1835,6.27,19.8,63.8,708.2,210.8,12.9,3.77,,1662.0,,PROBLEMATICO
1836,7.43,27.1,,257.2,,29.6,3.07,30.5,1044.0,4.02,PROBLEMATICO
1837,5.63,,85.1,100.6,,38.1,4.42,20.5,363.0,2.04,GRAVE
1838,7.13,28.7,,132.0,66.8,23.7,5.02,24.6,1324.0,2.7,PROBLEMATICO
1839,6.96,36.4,181.4,390.5,11.7,22.1,1.48,10.0,2284.0,5.33,TRATABLE
1840,6.75,27.5,218.3,7.1,232.6,13.8,3.66,18.0,1391.0,2.06,PROBLEMATICO
1841,6.85,30.0,167.2,331.1,213.1,39.7,0.7,2.6,2363.0,4.92,PROBLEMATICO
1842,4.74,,55.9,119.7,112.2,40.0,2.54,5.9,2397.0,4.1,PROBLEMATICO
1843,6.34,30.8,24.8,84.6,62.4,22.7,4.84,23.8,1175.0,0.0,PROBLEMATICO
1844,7.11,,105.8,73.6,187.2,25.8,4.55,2.3,875.0,5.02,TRATABLE
1845,,27.4,133.3,255.0,49.5,3.7,,17.3,900.0,5.86,PROBLEMATICO
1846,5.77,26.5,197.5,501.1,154.4,12.1,0.93,8.4,,6.91,GRAVE
1847,8.52,32.2,123.9,414.4,14.1,11.0,1.32,5.2,518.0,3.41,TRATABLE
1848,,20.5,124.6,197.1,149.2,13.9,2.68,19.1,1590.0,2.4,GRAVE
1849,8.16,15.6,141.4,425.0,126.9,37.7,8.57,29.0,1870.0,,PROBLEMATICO
1850,7.51,,97.0,185.8,101.0,45.1,12.16,8.7,95.0,2.09,GRAVE
1851,6.22,29.3,127.8,14.0,301.8,33.0,0.05,26.0,2449.0,5.6,PROBLEMATICO
1852,9.13,,221.3,253.8,107.4,16.2,7.27,5.1,830.0,4.72,PROBLEMATICO
1853,5.57,33.2,112.4,21.1,,8.6,4.26,39.4,993.0,2.1,GRAVE
1854,8.1,29.2,,392.5,193.5,23.6,5.67,25.2,1415.0,3.65,PROBLEMATICO
1855,,24.2,117.0,395.1,134.9,27.3,0.03,8.7,613.0,7.62,PROBLEMATICO
1856,,15.4,236.8,91.6,176.4,18.0,8.07,30.4,786.0,4.38,PROBLEMATICO
1857,8.67,25.8,20.3,,25.6,10.1,2.66,4.0,618.0,3.05,TRATABLE
1858,6.7,32.1,279.8,274.5,125.8,33.1,0.06,2.4,1199.0,3.45,PROBLEMATICO
1859,7.35,25.0,14.1,407.0,,,,28.0,,4.85,PROBLEMATICO
1860,7.31,27.1,,25.9,116.2,1.6,,36.7,1464.0,,TRATABLE
1861,,29.1,187.0,357.9,284.5,15.1,4.08,23.6,279.0,2.4,GRAVE
1862,7.97,21.9,212.7,13.0,10.6,36.0,,8.3,1511.0,7.36,TRATABLE
1863,7.95,30.1,6.3,389.9,104.9,39.8,2.93,18.1,411.0,3.88,PROBLEMATICO
1864,4.9,35.2,21.7,441.3,72.4,23.2,,4.5,1908.0,7.07,PROBLEMATICO
1865,8.57,,145.0,129.5,140.8,28.6,,11.9,1769.0,2.19,PROBLEMATICO
1866,5.01,21.4,,469.4,186.6,26.5,4.45,22.3,298.0,7.6,GRAVE
1867,8.24,26.7,232.2,33.3,178.3,,6.69,10.7,1790.0,8.06,PROBLEMATICO
1868,8.35,15.9,97.7,447.9,79.8,2.0,1.74,23.0,627.0,8.23,PROBLEMATICO
1869,,28.7,,508.9,74.4,,,10.4,380.0,4.49,GRAVE
1870,6.51,29.3,127.3,312.2,15.8,6.0,4.15,7.9,1923.0,4.51,TRATABLE
1871,5.67,35.4,152.6,214.8,,41.6,7.78,26.8,821.0,3.02,GRAVE
1872,6.74,26.0,85.6,306.2,227.9,2.9,2.97,0.2,2292.0,2.55,PROBLEMATICO
1873,6.63,29.0,43.4,141.3,130.9,29.4,1.4,2.8,1696.0,6.3,TRATABLE
1874,7.94,22.7,134.3,722.4,156.2,6.1,4.24,9.7,900.0,,PROBLEMATICO
1875,,25.2,35.2,144.4,37.2,35.5,11.69,4.4,799.0,5.46,TRATABLE
1876,8.67,19.4,288.5,487.1,269.1,29.9,0.1,19.2,2252.0,,GRAVE
1877,6.33,26.0,256.5,116.6,68.1,26.3,6.03,,865.0,1.91,PROBLEMATICO
1878,6.75,25.5,,537.4,183.7,57.3,4.53,,102.0,2.07,GRAVE
1879,4.98,28.5,128.1,,,9.4,5.21,15.8,550.0,6.07,GRAVE
1880,6.03,23.9,60.6,319.5,,38.7,0.38,11.3,,5.36,PROBLEMATICO
1881,8.16,27.4,118.1,301.6,264.8,,5.37,34.8,650.0,4.26,GRAVE
1882,8.94,,,77.8,45.3,38.7,4.89,13.8,2873.0,5.3,PROBLEMATICO
1883,5.52,25.3,198.2,56.4,214.9,9.8,0.45,8.7,747.0,7.4,PROBLEMATICO
1884,6.29,27.4,,303.6,31.9,17.8,4.39,46.1,763.0,6.35,PROBLEMATICO
1885,6.97,27.2,203.2,512.5,49.8,11.1,3.27,28.5,510.0,5.03,PROBLEMATICO
1886,7.34,30.8,169.1,151.3,,16.6,2.94,16.1,1817.0,5.4,TRATABLE
1887,6.03,,,647.4,237.2,6.9,3.86,,1005.0,7.45,PROBLEMATICO
1888,7.51,25.3,,140.2,110.2,15.5,7.26,19.0,,3.68,PROBLEMATICO
1889,6.43,26.1,166.5,291.3,201.9,48.4,5.37,4.2,2008.0,4.96,PROBLEMATICO
1890,6.98,23.4,197.3,,254.4,,0.87,9.7,1454.0,4.45,PROBLEMATICO
1891,7.66,25.2,134.5,231.7,62.9,23.9,5.49,15.4,1416.0,3.23,PROBLEMATICO
1892,7.01,37.2,97.1,117.9,12.5,,3.87,11.0,360.0,4.1,TRATABLE
1893,6.48,,70.7,138.6,104.4,21.7,2.15,6.8,140.0,2.47,PROBLEMATICO
1894,6.87,25.6,,285.9,267.3,36.9,0.28,41.4,153.0,6.63,PROBLEMATICO
1895,6.89,,24.5,232.7,58.7,30.8,,19.8,1251.0,3.63,PROBLEMATICO
1896,6.56,25.8,37.9,364.5,241.5,47.5,2.29,0.5,2813.0,4.92,PROBLEMATICO
1897,6.69,25.3,35.3,386.2,,0.2,6.72,30.8,803.0,6.59,PROBLEMATICO
1898,8.92,28.4,74.3,206.8,315.6,8.4,0.77,13.5,1917.0,7.26,PROBLEMATICO
1899,,18.4,260.6,76.8,364.5,14.6,9.98,32.9,1568.0,4.62,GRAVE
1900,6.65,,105.8,,243.1,49.4,11.9,13.1,,4.31,GRAVE
1901,7.84,30.2,141.8,6.0,24.7,27.4,5.63,11.6,1030.0,5.91,TRATABLE
1902,6.6,20.8,144.6,142.8,100.3,3.5,7.89,4.2,899.0,5.32,PROBLEMATICO
1903,8.41,15.7,262.9,97.0,146.1,41.7,2.64,35.5,,2.21,GRAVE
1904,7.44,22.1,68.2,384.4,230.7,24.0,2.34,,1624.0,7.79,PROBLEMATICO
1905,6.87,25.8,,487.1,190.1,38.0,7.58,8.9,1802.0,4.98,PROBLEMATICO
1906,7.54,39.9,110.4,218.7,67.6,50.5,,40.1,903.0,6.13,PROBLEMATICO
1907,5.11,29.7,222.3,291.4,8.6,4.4,0.12,33.5,894.0,5.21,PROBLEMATICO
1908,,18.0,241.0,327.2,233.0,50.5,4.23,3.6,792.0,5.53,PROBLEMATICO
1909,5.57,23.6,162.7,574.7,325.9,20.7,0.33,13.6,1900.0,4.17,GRAVE
1910,7.17,26.7,,69.2,73.0,14.5,3.44,24.6,,5.89,TRATABLE
1911,9.08,28.3,136.0,384.0,222.5,24.8,,2.4,2233.0,5.86,PROBLEMATICO
1912,9.68,20.4,104.5,317.8,400.3,,8.38,11.2,632.0,6.21,GRAVE
1913,7.77,26.3,226.1,183.2,121.0,21.6,4.83,20.6,768.0,1.76,PROBLEMATICO
1914,7.6,23.4,163.9,308.7,123.1,17.6,8.01,12.9,2358.0,,PROBLEMATICO
1915,4.84,21.5,53.8,,196.0,5.1,2.62,17.5,2127.0,4.75,PROBLEMATICO
1916,6.35,28.3,209.8,,111.6,10.4,9.1,,506.0,3.7,PROBLEMATICO
1917,6.05,,101.2,638.5,273.9,42.5,1.83,,574.0,6.97,GRAVE
1918,6.25,31.2,90.2,272.9,99.6,18.8,1.57,45.3,1377.0,2.75,PROBLEMATICO
1919,6.8,29.9,200.4,254.8,136.9,4.3,2.62,22.9,2069.0,6.28,PROBLEMATICO
1920,6.43,24.5,112.0,217.4,4.2,30.1,1.76,15.6,567.0,1.16,PROBLEMATICO
1921,4.62,30.6,155.0,349.5,116.4,35.8,5.55,1.7,,1.46,GRAVE
1922,7.9,28.5,179.6,,39.2,22.0,7.76,8.6,,4.45,PROBLEMATICO
1923,5.71,27.7,49.5,252.4,174.6,0.2,4.05,8.6,1058.0,5.21,PROBLEMATICO
1924,7.29,,154.6,253.2,26.4,23.8,4.93,11.0,1147.0,5.79,TRATABLE
1925,,24.5,241.5,225.8,238.0,5.8,0.15,13.7,,6.45,PROBLEMATICO
1926,5.9,27.4,,140.4,52.9,41.0,4.29,25.0,908.0,,PROBLEMATICO
1927,3.96,39.2,160.5,325.3,318.4,39.3,9.31,0.4,2088.0,4.33,GRAVE
1928,6.66,28.5,45.3,198.7,277.1,7.7,8.24,36.5,1095.0,2.91,GRAVE
1929,8.32,23.9,211.9,360.5,193.6,17.8,0.72,4.9,440.0,,PROBLEMATICO
1930,9.35,22.8,211.1,,13.8,34.6,2.69,13.4,1590.0,5.87,PROBLEMATICO
1931,5.52,24.5,88.1,180.4,77.2,19.5,14.22,32.0,769.0,2.73,GRAVE
1932,7.6,37.9,318.9,531.7,50.4,38.9,5.25,9.4,380.0,4.79,GRAVE
1933,6.44,25.0,219.6,231.6,62.9,,8.55,26.3,2575.0,6.23,PROBLEMATICO
1934,,31.5,183.6,362.1,297.7,30.7,8.78,25.3,1494.0,10.52,GRAVE
